filename	title	style	region	year	tokens
2.spok_hu_radio_054_1999.vert	Magyar Rádió Leiratok	spoken	Hungary	1999	1299
2.spok_hu_radio_053_2002.vert	Magyar Rádió Leiratok	spoken	Hungary	2002	2289
2.spok_hu_radio_047_2003.vert	Magyar Rádió Leiratok	spoken	Hungary	2003	4000
2.spok_hu_radio_049_2003.vert	Magyar Rádió Leiratok	spoken	Hungary	2003	3767
2.spok_hu_radio_010_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	241910
2.spok_hu_radio_021_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	168657
2.spok_hu_radio_053_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	301530
2.spok_hu_radio_036_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	108612
2.spok_hu_radio_037_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	85794
2.spok_hu_radio_022_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	106330
2.spok_hu_radio_012_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	103087
2.spok_hu_radio_044_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	57214
2.spok_hu_radio_000_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	78970
2.spok_hu_radio_008_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	502746
2.spok_hu_radio_009_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	241898
2.spok_hu_radio_016_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	209010
2.spok_hu_radio_046_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	118480
2.spok_hu_radio_002_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	221797
2.spok_hu_radio_007_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	391074
2.spok_hu_radio_032_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	179001
2.spok_hu_radio_047_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	129164
2.spok_hu_radio_028_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	162442
2.spok_hu_radio_011_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	137834
2.spok_hu_radio_050_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	158552
2.spok_hu_radio_025_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	67394
2.spok_hu_radio_048_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	120898
2.spok_hu_radio_003_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	127857
2.spok_hu_radio_054_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	280411
2.spok_hu_radio_049_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	182466
2.spok_hu_radio_018_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	274188
2.spok_hu_radio_029_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	129704
2.spok_hu_radio_023_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	57991
2.spok_hu_radio_004_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	251124
2.spok_hu_radio_051_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	284081
2.spok_hu_radio_043_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	81948
2.spok_hu_radio_006_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	311151
2.spok_hu_radio_030_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	177770
2.spok_hu_radio_024_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	90117
2.spok_hu_radio_042_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	74154
2.spok_hu_radio_033_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	190384
2.spok_hu_radio_039_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	69263
2.spok_hu_radio_035_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	130819
2.spok_hu_radio_019_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	115002
2.spok_hu_radio_038_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	106068
2.spok_hu_radio_034_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	167740
2.spok_hu_radio_031_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	122446
2.spok_hu_radio_027_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	115152
2.spok_hu_radio_057_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	9546
2.spok_hu_radio_045_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	94349
2.spok_hu_radio_052_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	178641
2.spok_hu_radio_040_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	44580
2.spok_hu_radio_020_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	206295
2.spok_hu_radio_026_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	105357
2.spok_hu_radio_014_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	95637
2.spok_hu_radio_013_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	170745
2.spok_hu_radio_017_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	339581
2.spok_hu_radio_005_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	138639
2.spok_hu_radio_015_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	153645
2.spok_hu_radio_001_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	65750
2.spok_hu_radio_041_2004.vert	Magyar Rádió Leiratok	spoken	Hungary	2004	60023
2.spok_hu_radio_054_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	451505
2.spok_hu_radio_035_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	250674
2.spok_hu_radio_029_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	207207
2.spok_hu_radio_041_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	328062
2.spok_hu_radio_009_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	746236
2.spok_hu_radio_028_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	161091
2.spok_hu_radio_023_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	203571
2.spok_hu_radio_036_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	239729
